Iterations;Gain_cumule
1;8.36245595545689
2;14.810506110504186
3;23.172962065961073
4;32.24980554651427
5;38.784949058213385
6;41.177779433194985
7;41.289475130557335
8;44.228495840609554
9;45.2392927218271
10;53.23159591656349
11;61.620827046485616
12;64.01365742146722
13;66.0502715022806
14;68.08688558309397
15;73.49098319440922
16;74.50178007562677
17;80.94983023067407
18;87.39788038572136
19;90.33690109577358
20;91.34769797699113
21;93.74052835197273
22;99.14462596328798
23;107.5338570932101
24;109.9266874681917
25;115.33078507950695
26;114.68468856246825
27;123.76153204302145
28;132.16378340784163
29;135.10280411789384
30;137.1394181987072
31;145.5416695635274
32;153.93090069344953
33;153.28480417641083
34;155.3214182572242
35;160.72551586853945
36;163.66453657859165
37;170.19968009029077
38;178.60193145511096
39;186.59423464984735
40;192.55138625852368
41;195.49040696857588
42;203.48271016331228
43;209.4398617719886
44;211.8326921469702
45;220.90953562752338
46;221.02123132488572
47;227.46928147993302
48;228.48007836115056
49;227.83398184411186
50;233.7911334527882
51;241.78343664752458
52;248.3185801592237
53;249.32937704044124
54;249.44107273780358
55;249.55276843516592
56;256.087911946865
57;256.19960764422734
58;255.55351112718864
59;263.54581432192504
60;266.48483503197724
61;266.5965307293396
62;265.9504342123009
63;272.485577724
64;281.5624212045532
65;286.9665188158684
66;292.3706164271837
67;300.7598475571058
68;308.7521507518422
69;317.82899423239536
70;318.83979111361293
71;327.22902224353504
72;329.2656363243484
73;335.22278793302473
74;344.2996314135779
75;344.41132711094025
76;344.5230228083026
77;344.6347185056649
78;353.0369698704851
79;361.4392212353053
80;366.84331884662055
81;369.23614922160215
82;377.22845241633854
83;382.6325500276538
84;381.9864535106151
85;389.9787567053515
86;392.01537078616485
87;391.36927426912615
88;400.44611774967933
89;400.55781344704167
90;407.00586360208894
91;407.1175592994513
92;409.5103896744329
93;417.87284562988975
94;426.27509699470994
95;434.67734835953013
96;440.63449996820646
97;448.62680316294285
98;448.7384988603052
99;456.7308020550416
100;459.1236324300232
101;462.0626531400754
102;464.09926722088875
103;463.45317070385005
104;463.5648664012124
105;471.9671177660326
106;478.41516792107984
107;487.492011401633
108;494.02715491333214
109;496.41998528831374
110;502.868035443361
111;511.2304913988179
112;510.5843948817792
113;513.5234155918314
114;521.9256669566516
115;530.3148980865737
116;538.6773540420306
117;539.6881509232481
118;542.0809812982297
119;548.5290314532771
120;556.5213346480135
121;561.9254322593288
122;562.0371279566912
123;568.4851781117385
124;574.4423297204148
125;576.4789438012282
126;584.4712469959646
127;591.0063905076638
128;590.3602939906251
129;592.3969080714385
130;598.3540596801148
131;597.7079631630761
132;606.0971942929982
133;608.4900246679798
134;610.8828550429614
135;616.2869526542767
136;615.640856137238
137;624.7176996177911
138;630.1217972291064
139;638.5110283590285
140;639.521825240246
141;647.5141284349825
142;646.8680319179438
143;652.272129529259
144;660.2644327239955
145;668.6536638539176
146;677.7305073344708
147;677.8422030318332
148;683.7993546405095
149;689.7565062491858
150;695.7136578578621
151;702.1617080129095
152;710.5509391428316
153;717.0860826545306
154;723.043234263207
155;731.4454856280272
156;740.5223291085804
157;742.5589431893937
158;747.963040800709
159;750.3558711756906
160;755.7599687870058
161;761.7171203956822
162;770.079576351139
163;773.0185970611913
164;775.4114274361729
165;784.488270916726
166;791.0234144284252
167;797.5585579401243
168;800.4975786501765
169;808.8868097800986
170;817.2890611449188
171;818.2998580261363
172;824.7479081811837
173;826.784522261997
174;833.2325724170444
175;841.2248756117808
176;849.6141067417029
177;855.0182043530182
178;863.4204557178384
179;869.8685058728857
180;877.8608090676222
181;884.3959525793214
182;892.7584085347783
183;892.1123120177396
184;894.1489260985529
185;896.5417564735345
186;898.9345868485161
187;907.3368382133364
188;915.6992941687932
189;915.8109898661556
190;915.1648933491169
191;923.554124479039
192;931.9433556089612
193;940.305811564418
194;949.3826550449712
195;957.7451110004281
196;963.1492086117433
197;972.2260520922965
198;980.6152832222186
199;989.6921267027718
200;991.7287407835852
201;1000.1309921484054
202;1009.2078356289586
203;1009.319531326321
204;1015.2766829349973
205;1023.6659140649194
206;1029.0700116762348
207;1034.4741092875502
208;1036.8669396625316
209;1044.859242857268
210;1050.2633404685835
211;1059.3401839491366
212;1065.2973355578129
213;1071.832479069512
214;1080.909322550065
215;1082.9459366308786
216;1085.33876700586
217;1085.4504627032225
218;1087.843293078204
219;1094.2913432332512
220;1100.7393933882984
221;1100.0932968712596
222;1103.0323175813119
223;1105.9713382913642
224;1112.5064818030633
225;1114.8993121780447
226;1121.347362333092
227;1123.3839764139054
228;1128.7880740252208
229;1137.190325390041
230;1140.1293461000932
231;1148.5185772300154
232;1147.8724807129765
233;1150.8115014230289
234;1159.888344903582
235;1162.2811752785635
236;1171.3580187591167
237;1176.762116370432
238;1185.1643677352522
239;1185.2760634326146
240;1185.387759129977
241;1191.3449107386532
242;1193.3815248194667
243;1201.3738280142031
244;1207.3309796228793
245;1215.7202107528014
246;1222.1682609078487
247;1228.7034044195477
248;1237.0926355494698
249;1239.4854659244513
250;1241.8782962994328
251;1241.9899919967952
252;1248.5251355084943
253;1256.5174387032307
254;1258.5540527840442
255;1265.0891962957432
256;1273.4516522512001
257;1281.8539036160203
258;1287.8110552246965
259;1296.8878987052497
260;1296.999594402612
261;1299.3924247775935
262;1305.8404749326407
263;1312.3756184443398
264;1314.7684488193213
265;1315.779245700539
266;1322.314389212238
267;1327.7184868235533
268;1327.8301825209157
269;1329.8667966017292
270;1335.8239482104054
271;1343.8162514051419
272;1351.8085545998783
273;1354.2013849748598
274;1356.2379990556733
275;1355.5919025386345
276;1358.5309232486868
277;1359.5417201299044
278;1358.8956236128656
279;1367.2848547427877
280;1369.6776851177692
281;1378.0669162476913
282;1384.0240678563675
283;1384.13576355373
284;1386.1723776345434
285;1392.1295292432196
286;1400.5187603731417
287;1406.966810528189
288;1416.0436540087421
289;1424.4328851386642
290;1432.795341094121
291;1432.9070367914835
292;1439.4421803031826
293;1438.7960837861438
294;1445.3312272978428
295;1453.6936832532997
296;1462.0561392087566
297;1463.0669360899742
298;1464.0777329711918
299;1472.479984336012
300;1480.869215465934
301;1489.231671421391
302;1492.1706921314433
303;1494.5635225064248
304;1499.9676201177401
305;1500.9784169989578
306;1510.055260479511
307;1516.0124120881871
308;1516.1241077855495
309;1524.116410980286
310;1530.5644611353332
311;1532.6010752161467
312;1540.9903063460688
313;1540.34420982903
314;1548.733440958952
315;1555.2685844706511
316;1557.3051985514646
317;1563.7532487065118
318;1569.1573463178272
319;1577.1496495125637
320;1583.1068011212399
321;1585.4996314962214
322;1593.9018828610415
323;1596.8409035710938
324;1597.8517004523114
325;1606.2539518171316
326;1614.6164077725884
327;1623.0056389025106
328;1631.4078902673307
329;1639.4001934620671
330;1645.3573450707433
331;1651.8053952257906
332;1653.842009306604
333;1662.2312404365262
334;1667.6353380478415
335;1675.9977940032984
336;1684.3870251332205
337;1690.9221686449196
338;1699.3244200097397
339;1707.3167232044761
340;1712.7208208157915
341;1714.757434896605
342;1715.7682317778226
343;1715.1221352607838
344;1717.5149656357653
345;1719.9077960107468
346;1728.2702519662037
347;1736.6327079216605
348;1739.5717286317129
349;1747.9341845871697
350;1754.4693280988688
351;1762.8317840543257
352;1768.235881665641
353;1767.5897851486022
354;1775.9790162785243
355;1784.3414722339812
356;1787.2804929440335
357;1795.6697240739556
358;1796.6805209551733
359;1805.0697520850954
360;1811.5178022401426
361;1814.456822950195
362;1816.8496533251764
363;1825.2388844550985
364;1828.1779051651508
365;1827.531808648112
366;1827.6435043454744
367;1836.7203478260276
368;1843.1683979810748
369;1846.1074186911271
370;1846.2191143884895
371;1852.7542579001886
372;1852.865953597551
373;1859.40109710925
374;1862.3401178193023
375;1870.3324210140388
376;1876.8675645257379
377;1883.402708037437
378;1891.804959402257
379;1900.8818028828102
380;1908.8741060775467
381;1914.831257686223
382;1921.27930784127
383;1926.6834054525855
384;1926.7951011499479
385;1929.7341218600002
386;1938.1233529899223
387;1941.0623736999746
388;1947.5975172116737
389;1949.9903475866552
390;1958.3795787165773
391;1966.3718819113137
392;1968.7647122862952
393;1969.7755091675128
394;1970.7863060487305
395;1970.8980017460929
396;1971.0096974434553
397;1977.5448409551543
398;1979.9376713301358
399;1982.8766920401881
400;1988.8338436488643
401;1991.7728643589166
402;1992.7836612401343
403;1994.8202753209478
404;1994.174178803909
405;1996.5670091788904
406;2004.9692605437106
407;2004.3231640266717
408;2007.262184736724
409;2015.2544879314605
410;2024.3313314120137
411;2032.3236346067501
412;2041.4004780873033
413;2047.3576296959795
414;2055.349932890716
415;2057.3865469715292
416;2065.749002926986
417;2071.1531005383013
418;2079.5553519031214
419;2087.9178078585783
420;2096.3070389885006
421;2104.7092903533207
422;2113.786133833874
423;2116.7251545439262
424;2116.0790580268877
425;2117.0898549081053
426;2119.482685283087
427;2121.5192993639002
428;2122.530096245118
429;2128.9781464001653
430;2137.340602355622
431;2139.3772164364354
432;2147.7396723918923
433;2147.0935758748537
434;2153.05072748353
435;2161.4399586134523
436;2164.3789793235046
437;2173.455822804058
438;2181.84505393398
439;2188.2931040890276
440;2187.647007571989
441;2195.6393107667254
442;2198.032141141707
443;2206.4213722716295
444;2214.413675466366
445;2220.948818978065
446;2222.9854330588782
447;2231.3746641888006
448;2240.4515076693538
449;2240.563203366716
450;2242.5998174475294
451;2250.9622734029863
452;2260.0391168835395
453;2261.049913764757
454;2262.0607106459747
455;2270.4231666014316
456;2278.812397731354
457;2287.214649096174
458;2293.6626992512215
459;2299.0667968625366
460;2305.514847017584
461;2312.049990529283
462;2313.060787410501
463;2315.097401491314
464;2321.0545530999902
465;2320.4084565829517
466;2329.485300063505
467;2334.88939767482
468;2335.0010933721824
469;2340.4051909834975
470;2349.4820344640507
471;2357.884285828871
472;2360.2771162038525
473;2359.631019686814
474;2366.166163198513
475;2368.2027772793263
476;2376.565233234783
477;2378.958063609765
478;2384.36216122108
479;2390.8102113761274
480;2393.203041751109
481;2399.6510919061566
482;2402.0439222811383
483;2410.0362254758747
484;2416.571368987574
485;2415.925272470535
486;2416.0369681678976
487;2424.42619929782
488;2426.8190296728017
489;2435.208260802724
490;2434.5621642856854
491;2433.916067768647
492;2440.3641179236943
493;2440.4758136210567
494;2445.879911232372
495;2446.8907081135894
496;2455.2531640690463
497;2461.2103156777225
498;2469.5727716331794
499;2475.5299232418556
500;2481.977973396903
501;2484.3708037718848
502;2487.309824481937
503;2487.4215201792995
504;2486.775423662261
505;2487.7862205434785
506;2496.1884719082987
507;2495.54237539126
508;2503.94462675608
509;2509.3487243673953
510;2517.711180322852
511;2520.6502010329045
512;2527.098251187952
513;2528.1090480691696
514;2533.5131456804847
515;2533.624841377847
516;2540.0728915328946
517;2542.109505613708
518;2544.5023359886895
519;2549.9064336000047
520;2556.4415771117037
521;2557.4523739929214
522;2560.3913947029737
523;2568.7538506584306
524;2574.1579482697457
525;2580.115099878422
526;2588.5043310083443
527;2589.515127889562
528;2590.5259247707795
529;2589.879828253741
530;2592.2726586287226
531;2598.8078021404217
532;2607.884645620975
533;2610.2774759959566
534;2613.216496706009
535;2619.6645468610564
536;2622.057377236038
537;2630.459628600858
538;2632.4962426816714
539;2633.507039562889
540;2641.4993427576255
541;2649.491645952362
542;2656.026789464061
543;2665.103632944614
544;2666.114429825832
545;2674.1067330205683
546;2683.1835765011215
547;2689.631626656169
548;2696.0796768112164
549;2704.4421327666732
550;2704.5538284640356
551;2705.5646253452533
552;2710.9687229565684
553;2719.3579540864907
554;2718.711857569452
555;2725.247001081151
556;2731.2041526898274
557;2737.7392962015265
558;2740.132126576508
559;2748.5213577064305
560;2748.633053403793
561;2754.037151015108
562;2756.9761717251604
563;2765.3386276806173
564;2767.731458055599
565;2776.133709420419
566;2778.1703235012324
567;2778.2820191985948
568;2786.274322393331
569;2794.2666255880677
570;2797.20564629812
571;2799.5984766731017
572;2806.046526828149
573;2814.4357579580715
574;2820.3929095667477
575;2826.840959721795
576;2828.8775738026084
577;2831.27040417759
578;2837.805547689289
579;2843.2096453006043
580;2851.572101256061
581;2850.9260047390226
582;2860.0028482195758
583;2867.995151414312
584;2876.3843825442345
585;2878.420996625048
586;2886.81022775497
587;2893.2582779100176
588;2901.250581104754
589;2906.654678716069
590;2915.0569300808893
591;2917.9959507909416
592;2924.5310943026407
593;2932.523397497377
594;2932.6350931947395
595;2934.6717072755528
596;2937.610727985605
597;2943.5678795942813
598;2950.0159297493287
599;2959.092773229882
600;2967.4820043598043
601;2973.9300545148517
602;2982.2925104703086
603;2990.284813665045
604;2999.361657145598
605;3007.724113101055
606;3016.1133442309774
607;3024.4758001864343
608;3026.868630561416
609;3032.272728172731
610;3040.6749795375513
611;3046.0790771488664
612;3052.6142206605655
613;3054.6508347413787
614;3056.687448822192
615;3056.0413523051534
616;3057.052149186371
617;3057.1638448837334
618;3062.5679424950486
619;3069.015992650096
620;3077.0082958448324
621;3082.9654474535087
622;3085.3582778284904
623;3084.712181311452
624;3087.1050116864335
625;3095.09731488117
626;3096.1081117623876
627;3104.100414957124
628;3103.4543184400854
629;3104.465115321303
630;3106.5017294021163
631;3114.8909605320387
632;3120.295058143354
633;3128.697309508174
634;3135.1453596632214
635;3143.5345907931437
636;3150.0697343048428
637;3155.473831916158
638;3163.8630630460802
639;3163.9747587434426
640;3169.931910352119
641;3178.321141482041
642;3184.7691916370886
643;3190.1732892484038
644;3192.209903329217
645;3201.28674680977
646;3209.6889981745903
647;3212.081828549572
648;3215.0208492596244
649;3217.9598699696767
650;3218.071565667039
651;3226.0638688617755
652;3232.511919016823
653;3240.5042222115594
654;3249.5810656921126
655;3257.9435216475695
656;3266.3457730123896
657;3274.7082289678465
658;3274.062132450808
659;3282.4513635807302
660;3281.8052670636916
661;3287.209364675007
662;3295.2016678697432
663;3303.1939710644797
664;3309.642021219527
665;3310.6528181007448
666;3319.0152740562016
667;3321.4081044311833
668;3330.4849479117365
669;3338.8474038671934
670;3341.240234242175
671;3349.2325374369116
672;3355.680587591959
673;3358.0734179669407
674;3366.462649096863
675;3367.4734459780807
676;3374.0085894897798
677;3382.4108408546
678;3391.487684335153
679;3400.5645278157062
680;3408.9537589456286
681;3410.990373026442
682;3419.379604156364
683;3424.7837017676793
684;3433.1729328976016
685;3432.526836380563
686;3441.6036798611162
687;3443.996510236098
688;3449.400607847413
689;3455.3577594560893
690;3457.3943735369025
691;3465.783604666825
692;3468.722625376877
693;3470.7592394576905
694;3473.152069832672
695;3482.2289133132253
696;3484.2655273940386
697;3484.377223091401
698;3487.3162438014533
699;3493.2733954101295
700;3498.6774930214447
701;3506.669796216181
702;3512.6269478248573
703;3518.5840994335335
704;3526.57640262827
705;3535.653246108823
706;3541.6103977174994
707;3548.058447872547
708;3556.447679002469
709;3564.810134957926
710;3573.212386322746
711;3573.3240820201086
712;3574.334878901326
713;3583.4117223818794
714;3591.404025576616
715;3597.8520757316633
716;3605.8443789263997
717;3611.248476537715
718;3613.285090618528
719;3619.2422422272043
720;3628.3190857077575
721;3634.8542292194566
722;3643.9310727000097
723;3644.9418695812274
724;3654.0187130617805
725;3662.011016256517
726;3664.0476303373302
727;3664.1593260346926
728;3673.236169515246
729;3675.272783596059
730;3683.2650867907955
731;3692.3419302713487
732;3697.746027882664
733;3706.822871363217
734;3707.8336682444346
735;3709.870282325248
736;3712.2631127002296
737;3720.652343830152
738;3729.729187310705
739;3735.1332849220203
740;3737.526115297002
741;3746.602958777555
742;3748.6395728583684
743;3757.0418242231885
744;3756.39572770615
745;3762.352879314826
746;3768.8009294698736
747;3774.75808107855
748;3780.162178689865
749;3786.6102288449124
750;3792.0143264562275
751;3793.025123337445
752;3801.4143544673675
753;3810.4911979479207
754;3810.602893645283
755;3818.5951968400195
756;3824.5523484486957
757;3832.544651643432
758;3831.8985551263936
759;3831.252458609355
760;3840.329302089908
761;3840.4409977872706
762;3841.451794668488
763;3850.5286381490414
764;3853.4676588590937
765;3855.504272939907
766;3863.906524304727
767;3870.441667816426
768;3878.8308989463485
769;3887.220130076271
770;3893.177281684947
771;3901.5665128148694
772;3906.9706104261845
773;3906.324513909146
774;3914.7137450390683
775;3923.1159964038884
776;3924.126793285106
777;3927.0658139951584
778;3936.1426574757115
779;3939.081678185764
780;3948.158521666317
781;3954.1156732749932
782;3962.5049044049156
783;3969.0400479166146
784;3975.5751914283137
785;3978.514212138366
786;3979.5250090195836
787;3987.914240149506
788;3993.871391758182
789;4002.2736431230023
790;4011.3504866035555
791;4010.704390086517
792;4018.6966932812534
793;4018.050596764215
794;4020.4434271391965
795;4029.5202706197497
796;4038.597114100303
797;4046.986345230225
798;4047.0980409275876
799;4056.1748844081408
800;4058.5677147831225
801;4064.5248663917987
802;4070.972916546846
803;4079.3751679116663
804;4085.9103114233653
805;4094.2995425532877
806;4102.701793918108
807;4105.0946242930895
808;4107.131238373903
809;4113.666381885602
810;4113.778077582964
811;4113.131981065925
812;4119.089132674601
813;4121.481963049583
814;4120.835866532544
815;4120.947562229906
816;4130.024405710459
817;4131.035202591676
818;4137.483252746723
819;4145.885504111544
820;4152.333554266591
821;4158.290705875267
822;4166.692957240088
823;4169.63197795014
824;4177.994433905597
825;4184.529577417296
826;4192.892033372754
827;4201.294284737574
828;4202.3050816187915
829;4208.262233227468
830;4217.339076708021
831;4225.331379902757
832;4225.443075600119
833;4233.805531555577
834;4239.762683164253
835;4240.77348004547
836;4242.810094126284
837;4245.202924501265
838;4253.195227696002
839;4259.643277851049
840;4262.582298561101
841;4267.986396172417
842;4276.388647537237
843;4284.790898902058
844;4291.238949057105
845;4299.231252251841
846;4307.223555446578
847;4315.6127865765
848;4324.689630057053
849;4331.224773568752
850;4332.23557044997
851;4338.192722058646
852;4338.304417756008
853;4344.261569364684
854;4344.373265062046
855;4349.7773626733615
856;4349.889058370723
857;4349.242961853684
858;4352.181982563737
859;4354.21859664455
860;4362.620848009371
861;4370.613151204107
862;4378.975607159565
863;4384.932758768241
864;4394.009602248794
865;4396.9486229588465
866;4397.060318656208
867;4402.464416267524
868;4404.857246642506
869;4404.211150125467
870;4413.28799360602
871;4415.324607686834
872;4417.361221767647
873;4423.896365279346
874;4426.835385989399
875;4435.224617119321
876;4444.301460599874
877;4452.6639165553315
878;4452.0178200382925
879;4460.420071403113
880;4466.377223011789
881;4468.413837092603
882;4470.450451173417
883;4472.843281548398
884;4481.245532913219
885;4481.357228610581
886;4487.314380219257
887;4496.39122369981
888;4504.793475064631
889;4505.804271945848
890;4508.19710232083
891;4507.551005803791
892;4509.5876198846045
893;4514.99171749592
894;4517.028331576734
895;4522.98548318541
896;4528.942634794086
897;4534.346732405402
898;4542.339035600138
899;4545.278056310191
900;4551.7261064652375
901;4551.0800099481985
902;4552.090806829416
903;4552.202502526778
904;4561.279346007331
905;4567.727396162378
906;4576.804239642931
907;4579.197070017913
908;4587.189373212649
909;4595.181676407386
910;4594.5355798903465
911;4603.6124233709
912;4610.060473525947
913;4618.052776720683
914;4620.9917974307355
915;4629.381028560658
916;4637.77025969058
917;4644.305403202279
918;4650.840546713978
919;4650.95224241134
920;4657.400292566387
921;4659.436906647201
922;4667.8391580120215
923;4670.231988387003
924;4678.22429158174
925;4680.617121956721
926;4683.556142666774
927;4691.945373796696
928;4697.902525405372
929;4706.979368885925
930;4709.372199260907
931;4715.329350869583
932;4716.3401477508005
933;4718.732978125782
934;4724.690129734458
935;4731.138179889505
936;4737.586230044552
937;4737.697925741914
938;4737.809621439276
939;4743.213719050592
940;4749.661769205639
941;4758.051000335561
942;4758.162696032923
943;4760.555526407905
944;4768.957777772725
945;4775.4929212844245
946;4781.450072893101
947;4787.407224501777
948;4787.518920199139
949;4794.054063710838
950;4802.4563150756585
951;4811.533158556212
952;4820.610002036765
953;4827.058052191812
954;4829.094666272626
955;4828.4485697555865
956;4834.405721364263
957;4842.398024558999
958;4843.408821440216
959;4844.4196183214335
960;4845.430415202651
961;4853.792871158108
962;4860.240921313155
963;4861.251718194372
964;4867.208869803048
965;4867.32056550041
966;4875.709796630333
967;4875.821492327695
968;4878.760513037747
969;4886.752816232483
970;4893.20086638753
971;4893.312562084892
972;4896.251582794945
973;4905.328426275498
974;4913.320729470234
975;4922.397572950787
976;4930.78680408071
977;4939.176035210632
978;4940.186832091849
979;4945.590929703165
980;4953.980160833087
981;4959.384258444403
982;4967.786509809223
983;4973.190607420539
984;4976.129628130591
985;4984.492084086049
986;4992.894335450869
987;5001.256791406327
988;5007.213943015003
989;5015.603174144925
990;5021.007271756241
991;5029.409523121061
992;5035.94466663276
993;5043.936969827497
994;5050.385019982544
995;5058.787271347364
996;5067.864114827918
997;5067.2180183108785
998;5075.210321505615
999;5075.322017202977
1000;5083.684473158434
1001;5084.695270039651
1002;5084.806965737013
1003;5086.843579817827
1004;5095.245831182648
1005;5097.282445263461
1006;5103.239596872138
1007;5105.276210952951
1008;5113.665442082874
1009;5116.058272457855
1010;5121.462370069171
1011;5129.8646214339915
1012;5138.266872798812
1013;5137.620776281773
1014;5143.024873893089
1015;5148.428971504404
1016;5156.421274699141
1017;5164.823526063961
1018;5166.860140144775
1019;5168.896754225589
1020;5169.008449922951
1021;5170.019246804168
1022;5176.554390315867
1023;5175.908293798828
1024;5183.900596993564
1025;5190.348647148611
1026;5198.711103104069
1027;5199.721899985286
1028;5200.732696866503
1029;5209.809540347056
1030;5216.257590502103
1031;5224.62004645756
1032;5233.022297822381
1033;5235.961318532433
1034;5243.95362172717
1035;5252.316077682627
1036;5257.720175293943
1037;5259.756789374756
1038;5268.146020504679
1039;5267.49992398764
1040;5269.892754362621
1041;5272.831775072674
1042;5278.78892668135
1043;5284.1930242926655
1044;5290.728167804365
1045;5299.130419169185
1046;5305.578469324232
1047;5310.982566935548
1048;5319.384818300368
1049;5325.341969909045
1050;5327.378583989858
1051;5329.77141436484
1052;5335.728565973516
1053;5341.685717582192
1054;5350.762561062746
1055;5350.116464545707
1056;5356.651608057406
1057;5356.763303754768
1058;5359.156134129749
1059;5362.095154839802
1060;5363.105951721019
1061;5372.182795201572
1062;5375.121815911624
1063;5381.656959423323
1064;5387.6141110319995
1065;5388.624907913217
1066;5397.027159278037
1067;5405.429410642858
1068;5405.54110634022
1069;5412.076249851919
1070;5418.611393363618
1071;5420.648007444432
1072;5423.040837819413
1073;5425.077451900227
1074;5424.431355383188
1075;5432.82058651311
1076;5441.8974299936635
1077;5443.934044074477
1078;5446.326874449459
1079;5451.730972060775
1080;5460.120203190697
1081;5466.077354799373
1082;5472.034506408049
1083;5480.423737537972
1084;5480.535433235334
1085;5489.612276715887
1086;5496.060326870934
1087;5504.462578235754
1088;5513.5394217163075
1089;5519.496573324984
1090;5526.031716836683
1091;5531.435814447998
1092;5533.82864482298
1093;5542.905488303533
1094;5543.017184000895
1095;5548.974335609571
1096;5554.931487218248
1097;5563.333738583068
1098;5572.410582063621
1099;5573.421378944839
1100;5575.81420931982
1101;5584.176665275278
1102;5587.11568598533
1103;5596.192529465883
1104;5601.596627077199
1105;5608.131770588898
1106;5610.5246009638795
1107;5613.463621673932
1108;5616.402642383984
1109;5617.413439265201
1110;5623.3705908738775
1111;5632.447434354431
1112;5633.458231235648
1113;5635.494845316462
1114;5637.531459397275
1115;5643.4886110059515
1116;5649.445762614628
1117;5655.402914223304
1118;5660.8070118346195
1119;5666.211109445935
1120;5672.168261054611
1121;5678.70340456631
1122;5678.815100263672
1123;5684.7722518723485
1124;5690.176349483664
1125;5693.115370193716
1126;5699.6505137054155
1127;5705.054611316731
1128;5713.456862681552
1129;5721.819318637009
1130;5723.855932717823
1131;5732.932776198376
1132;5738.3368738096915
1133;5743.740971421007
1134;5743.094874903968
1135;5751.48410603389
