Iterations;Gain_cumule
1;60.81238577641325
2;73.16468883300409
3;81.10599904239561
4;98.99520916147591
5;102.85936733102612
6;120.74857745010642
7;133.10088050669725
8;150.99009062577755
9;163.3423936823684
10;181.2316038014487
11;189.17291401084023
12;207.06212412992053
13;219.41442718651138
14;237.30363730559168
15;238.17983140831174
16;256.0690415273921
17;268.4213445839829
18;276.3626547933744
19;294.2518649124547
20;312.141075031535
21;316.0052332010852
22;333.8944433201655
23;346.24674637675633
24;354.18805658614787
25;372.07726670522817
26;389.9664768243085
27;393.83063499385867
28;406.1829380504495
29;424.0721481695298
30;432.0134583789213
31;449.9026684980016
32;462.25497155459243
33;480.14418167367273
34;481.0203757763928
35;498.9095858954731
36;511.26188895206394
37;519.2031991614555
38;537.0924092805358
39;554.9816193996161
40;567.3339224562069
41;585.2231325752872
42;593.1644427846787
43;611.053652903759
44;623.4059559603498
45;627.2701141299001
46;645.1593242489804
47;663.0485343680607
48;675.4008374246515
49;683.342147634043
50;701.2313577531233
51;702.1075518558434
52;714.4598549124343
53;732.3490650315146
54;740.2903752409061
55;744.1545334104563
56;756.5068364670472
57;774.3960465861275
58;792.2852567052078
59;810.1744668242881
60;822.5267698808789
61;830.4680800902704
62;848.3572902093507
63;866.246500328431
64;878.5988033850218
65;896.4880135041021
66;900.3521716736524
67;908.2934818830439
68;920.6457849396347
69;921.5219790423548
70;939.4111891614351
71;957.3003992805154
72;969.6527023371062
73;977.5940125464978
74;995.4832226655781
75;1013.3724327846584
76;1025.7247358412492
77;1029.5888940107993
78;1037.5302042201909
79;1055.419414339271
80;1067.771717395862
81;1085.6609275149422
82;1103.5501376340226
83;1121.439347753103
84;1133.791650809694
85;1141.7329610190855
86;1142.6091551218055
87;1160.498365240886
88;1172.850668297477
89;1176.714826467027
90;1184.6561366764186
91;1202.545346795499
92;1214.89764985209
93;1232.78685997117
94;1250.6760700902505
95;1268.565280209331
96;1280.9175832659218
97;1288.8588934753134
98;1306.7481035943938
99;1310.612261763944
100;1322.9645648205349
101;1340.853774939615
102;1348.7950851490066
103;1349.6712792517267
104;1362.0235823083176
105;1379.912792427398
106;1397.8020025464784
107;1415.6912126655589
108;1428.0435157221498
109;1435.9848259315413
110;1439.8489841010914
111;1457.7381942201719
112;1470.0904972767628
113;1487.979707395843
114;1495.9210176052345
115;1513.8102277243147
116;1526.1625307809056
117;1544.0517408999858
118;1561.9409510190662
119;1562.8171451217863
120;1575.1694481783773
121;1579.0336063479274
122;1586.974916557319
123;1604.8641266763993
124;1617.2164297329903
125;1635.1056398520705
126;1643.046950061462
127;1660.9361601805422
128;1673.288463237133
129;1691.1776733562133
130;1709.0668834752937
131;1726.9560935943741
132;1739.308396650965
133;1743.1725548205152
134;1751.1138650299067
135;1769.0030751489871
136;1781.355378205578
137;1782.2315723082982
138;1790.1728825176897
139;1808.06209263677
140;1820.414395693361
141;1838.3036058124412
142;1856.1928159315216
143;1860.0569741010718
144;1872.4092771576627
145;1880.3505873670542
146;1898.2397974861346
147;1916.129007605215
148;1928.481310661806
149;1946.3705207808862
150;1954.3118309902777
151;1972.201041109358
152;1984.5533441659488
153;1985.429538268669
154;1989.293696438219
155;2007.1829065572992
156;2019.5352096138902
157;2027.4765198232817
158;2045.3657299423621
159;2063.2549400614425
160;2075.6072431180332
161;2093.4964532371137
162;2101.437763446505
163;2119.3269735655854
164;2131.679276622176
165;2135.543434791726
166;2153.4326449108066
167;2171.321855029887
168;2183.6741580864777
169;2191.615468295869
170;2192.491662398589
171;2210.3808725176696
172;2222.7331755742603
173;2240.6223856933407
174;2248.563695902732
175;2266.4529060218124
176;2278.805209078403
177;2282.6693672479532
178;2300.5585773670336
179;2318.447787486114
180;2330.8000905427048
181;2338.741400752096
182;2356.6306108711765
183;2374.519820990257
184;2386.8721240468476
185;2404.761334165928
186;2412.7026443753193
187;2416.5668025448695
188;2428.91910560146
189;2429.7952997041803
190;2447.6845098232607
191;2465.573719942341
192;2477.926022998932
193;2485.867333208323
194;2503.7565433274035
195;2521.645753446484
196;2533.9980565030746
197;2551.887266622155
198;2555.751424791705
199;2563.6927350010965
200;2576.045038057687
201;2593.9342481767676
202;2611.823458295848
203;2629.7126684149284
204;2642.064971471519
205;2650.0062816809104
206;2650.8824757836305
207;2668.771685902711
208;2681.1239889593016
209;2684.988147128852
210;2692.929457338243
211;2710.8186674573235
212;2723.170970513914
213;2741.0601806329946
214;2758.949390752075
215;2776.8386008711554
216;2789.190903927746
217;2797.1322141371375
218;2815.021424256218
219;2832.9106343752983
220;2845.262937431889
221;2849.127095601439
222;2857.0684058108304
223;2857.9445999135505
224;2870.296902970141
225;2888.1861130892216
226;2906.075323208302
227;2923.9645333273825
228;2936.316836383973
229;2944.2581465933645
230;2962.147356712445
231;2966.011514881995
232;2978.3638179385857
233;2996.253028057666
234;3004.1943382670574
235;3022.083548386138
236;3034.4358514427286
237;3052.325061561809
238;3053.201255664529
239;3071.0904657836095
240;3083.4427688402
241;3091.3840790495915
242;3095.2482372191416
243;3113.137447338222
244;3125.4897503948127
245;3143.378960513893
246;3151.3202707232845
247;3169.209480842365
248;3181.5617838989556
249;3199.450994018036
250;3217.3402041371164
251;3235.229414256197
252;3247.5817173127875
253;3251.4458754823377
254;3259.387185691729
255;3260.263379794449
256;3272.6156828510398
257;3290.50489297012
258;3298.4462031795115
259;3316.335413298592
260;3328.6877163551826
261;3346.576926474263
262;3364.4661365933434
263;3382.355346712424
264;3394.7076497690146
265;3398.5718079385647
266;3406.513118147956
267;3424.4023282670364
268;3436.754631323627
269;3454.6438414427075
270;3462.585151652099
271;3480.4743617711792
272;3492.82666482777
273;3493.70285893049
274;3511.5920690495705
275;3515.4562272191206
276;3527.8085302757113
277;3535.7498404851026
278;3553.639050604183
279;3571.5282607232634
280;3583.880563779854
281;3601.7697738989345
282;3609.711084108326
283;3627.6002942274063
284;3639.952597283997
285;3657.8418074030774
286;3661.7059655726275
287;3679.595175691708
288;3691.9474787482986
289;3699.88878895769
290;3700.76498306041
291;3718.6541931794904
292;3731.006496236081
293;3748.8957063551616
294;3756.837016564553
295;3774.7262266836333
296;3787.078529740224
297;3790.942687909774
